BothPer,IndPer,Dyad,Window
0.009642654566080544,0.004963131026659104,1,1
0.01106069200226886,0.004963131026659104,1,2
0.003970504821327283,0.004963131026659104,1,3
0.04747384155455904,0.01046337817638266,2,1
0.024813153961136022,0.01046337817638266,2,2
0.009985052316890881,0.01046337817638266,2,3
0.007566862361382909,0.013437703848662753,3,1
0.024396607958251795,0.013437703848662753,3,2
0.010697977821265492,0.013437703848662753,3,3
0.03956759753308849,0.02681726838056961,4,1
0.0469128958492135,0.02681726838056961,4,2
0.013443281823851431,0.02681726838056961,4,3
0.00134742951907131,0.039386401326699835,5,1
9.328358208955224e-4,0.039386401326699835,5,2
5.182421227197347e-4,0.039386401326699835,5,3
0,0,6,1
0,0,6,2
0,0,6,3
0.0013246982631733883,0.052840741831027375,7,1
0.0010303208713570797,0.052840741831027375,7,2
2.9437739181630853e-4,0.052840741831027375,7,3
0.0033731188375713543,0.0908147379346134,8,1
0.004929942916450441,0.0908147379346134,8,2
0.0010378827192527244,0.0908147379346134,8,3
0.01732086406743941,0.008232349841938883,9,1
0.04017386722866175,0.008232349841938883,9,2
0.013501053740779768,0.008232349841938883,9,3
0.0049813200498132005,0.10107928601079286,10,1
4.1511000415110004e-4,0.10107928601079286,10,2
0,0.10107928601079286,10,3
1.743071291615827e-4,0.015164720237057696,11,1
1.743071291615827e-4,0.015164720237057696,11,2
0,0.015164720237057696,11,3
0.007024586051179127,0.07626693426994481,12,1
0.008529854490717512,0.07626693426994481,12,2
0.00288509784244857,0.07626693426994481,12,3
0.009100998890122086,0.0057713651498335185,13,1
0.005475397706252313,0.0057713651498335185,13,2
0.0017758046614872365,0.0057713651498335185,13,3
0.013306451612903225,0.020887096774193547,14,1
0.013064516129032259,0.020887096774193547,14,2
0.00467741935483871,0.020887096774193547,14,3
0.019776191394945013,0.11286899479066179,15,1
0.011479837931699788,0.11286899479066179,15,2
0.0031834844684545628,0.11286899479066179,15,3
0.01376378909017306,0.08703572512903553,16,1
0.01447221941099079,0.08703572512903553,16,2
0.0031373342779070943,0.08703572512903553,16,3
0.020016093341380003,0.05210219271776302,17,1
0.0033192516596258297,0.05210219271776302,17,2
4.023335345001006e-4,0.05210219271776302,17,3
0.005544485835571342,0.038378237893095385,18,1
0.00623754656501776,0.038378237893095385,18,2
0.00155938664125444,0.038378237893095385,18,3
0.03469146737525834,0.030705639208739297,19,1
0.00088573959255978745,0.030705639208739297,19,2
2.952465308532625e-4,0.030705639208739297,19,3
0.009751456772505648,0.03805446545368058,20,1
0.009632536567962896,0.03805446545368058,20,2
0.0024973242953977882,0.03805446545368058,20,3
