Window,Dyad,Freq,PowerLAud,PowerRAud
1,21,-1.6123599924395315,1.1884061574280855,1.4698131877265737
1,21,-1.3113299967755503,1.2895982972861761,1.198509120719269
1,21,-1.0102999566398119,1.219080529272891,1.0947961567367905
1,21,-0.7092699609758307,1.1675973748562753,1.0507546786528346
1,21,-0.4082399653118496,0.8834014018483844,0.9018993726684764
1,21,-0.10720996964786837,0.7039155634986094,0.6126499815595696
1,21,0.19382002601611284,0.4494857423014037,0.6488648836665691
1,21,0.494850021680094,0.20242674952663803,0.30614644490326565
1,21,0.7958800173440752,-0.11299388556578319,-0.04528532301103786
2,21,-1.6123599924395315,0.7251691020813043,1.073003259540039
2,21,-1.3113299967755503,1.4401271304288026,1.1167727982688331
2,21,-1.0102999566398119,1.393041481160197,1.1975335119153077
2,21,-0.7092699609758307,1.0281605827608908,1.0381167729170184
2,21,-0.4082399653118496,0.8119485505369277,0.9707640087179513
2,21,-0.10720996964786837,0.8076990043964015,0.6136573852051344
2,21,0.19382002601611284,0.5220909834846262,0.5096622834881293
2,21,0.494850021680094,0.2665651990840387,0.33982605744863636
2,21,0.7958800173440752,-0.034980877874916064,-0.014848710002889974
3,21,-1.6123599924395315,2.016545388159496,1.6474270990872468
3,21,-1.3113299967755503,1.125567470773477,0.9460201382030117
3,21,-1.0102999566398119,0.9082855049359204,0.5824771851737545
3,21,-0.7092699609758307,0.999973240731461,0.705192826940074
3,21,-0.4082399653118496,0.8952446495547054,0.7751541605363392
3,21,-0.10720996964786837,0.5256019693743389,0.6266720466793141
3,21,0.19382002601611284,0.49667297099325114,0.49702915972252937
3,21,0.494850021680094,0.19317851245527037,0.21718915240972425
3,21,0.7958800173440752,-0.07445778442695157,0.036294455180276707
1,22,-1.6123599924395315,1.5204895496757753,1.3046889287198022
1,22,-1.3113299967755503,1.2473456255862652,1.1152116878192593
1,22,-1.0102999566398119,1.1797159368186152,0.9904285055106159
1,22,-0.7092699609758307,1.293960753362582,1.0551048104476946
1,22,-0.4082399653118496,1.0167151406026578,0.9142997646520167
1,22,-0.10720996964786837,0.8191511772671517,0.8698707220915478
1,22,0.19382002601611284,0.5754602848472086,0.5442450656329108
1,22,0.494850021680094,0.2767631526750279,0.3530730503030099
1,22,0.7958800173440752,-0.08107316205117747,-0.03213834583079009
2,22,-1.6123599924395315,1.216499000492105,0.942998958090266
2,22,-1.3113299967755503,1.6017266820266407,0.8633357210914552
2,22,-1.0102999566398119,1.2757210093053073,1.0595436132140392
2,22,-0.7092699609758307,1.159392490323633,0.9890964225315331
2,22,-0.4082399653118496,0.9939265990542722,0.9305168763286359
2,22,-0.10720996964786837,0.9202387729506568,0.80391735257047
2,22,0.19382002601611284,0.5273849769046234,0.7821168079559867
2,22,0.494850021680094,0.23980220848654116,0.4582167881935514
2,22,0.7958800173440752,-0.18406233026986477,-0.18566613074264143
3,22,-1.6123599924395315,1.7039059902620726,1.0496610333331284
3,22,-1.3113299967755503,1.6089162804315007,0.5836773241526686
3,22,-1.0102999566398119,1.2888044880765666,1.0471539636794753
3,22,-0.7092699609758307,0.9614793844460687,1.1386168507132628
3,22,-0.4082399653118496,1.026199416450151,1.0265398700724024
3,22,-0.10720996964786837,0.872035828492016,0.9363852035390082
3,22,0.19382002601611284,0.562045592777926,0.7507521202406131
3,22,0.494850021680094,0.24891609679764976,0.3266304819685813
3,22,0.7958800173440752,-0.15513959982111497,-0.3160158481636573
1,23,-1.6123599924395315,0.83153137051212,1.056804257769113
1,23,-1.3113299967755503,0.912805123504194,1.3729614456724675
1,23,-1.0102999566398119,1.0295183163119446,1.021248768643969
1,23,-0.7092699609758307,0.9103558266232512,0.9924243991032228
1,23,-0.4082399653118496,0.8143403988394924,0.8750528449858113
1,23,-0.10720996964786837,0.8238340673991505,0.7242025306090907
1,23,0.19382002601611284,0.7327391165254875,0.60693628203543315
1,23,0.494850021680094,0.4922656046073884,0.21659424967063653
1,23,0.7958800173440752,-0.12275937433916184,-0.0042085349036719245
2,23,-1.6123599924395315,0.8625807556903107,1.1489480349077346
2,23,-1.3113299967755503,1.1071351684634998,1.202775951731773
2,23,-1.0102999566398119,1.0743918533854713,1.1301991193495429
2,23,-0.7092699609758307,0.8614616406980656,0.9624747348852286
2,23,-0.4082399653118496,0.9862817034288116,0.8382786529653753
2,23,-0.10720996964786837,0.8274171826677102,0.6982249733637336
2,23,0.19382002601611284,0.7194140221029734,0.5311661113130417
2,23,0.494850021680094,0.36342015568490776,0.3065644935227618
2,23,0.7958800173440752,-0.10207946934286177,0.050545607074766644
3,23,-1.6123599924395315,0.8815026087359772,0.7997468759118115
3,23,-1.3113299967755503,0.6904682880011417,1.0263280973318676
3,23,-1.0102999566398119,0.9808913823863012,1.0850782422129959
3,23,-0.7092699609758307,0.8080590853424361,0.7780676592077157
3,23,-0.4082399653118496,0.775684610743966,0.8902701830565316
3,23,-0.10720996964786837,0.7759565970385357,0.7646930052544392
